team,confederation
Bosnia and Herzegovina,UEFA
Trinidad and Tobago,CONCACAF
Iraq,AFC
Croatia,UEFA
United States,CONCACAF
New Zealand,OFC
Canada,CONCACAF
Jamaica,CONCACAF
Portugal,UEFA
Angola,CAF
Wales,UEFA
Norway,UEFA
Algeria,CAF
Togo,CAF
Ecuador,CONMEBOL
Japan,AFC
Morocco,CAF
Ukraine,UEFA
Australia,AFC
Slovakia,UEFA
Sweden,UEFA
Haiti,CONCACAF
Belgium,UEFA
Zambia,CAF
France,UEFA
Colombia,CONMEBOL
Qatar,AFC
England,UEFA
Brazil,CONMEBOL
El Salvador,CONCACAF
Equatorial Guinea,CAF
Ghana,CAF
North Korea,AFC
Spain,UEFA
Northern Ireland,UEFA
Soviet Union,UEFA
Russia,UEFA
East Germany,UEFA
Panama,CONCACAF
South Korea,AFC
Vietnam,AFC
Chile,CONMEBOL
Philippines,AFC
Saudi Arabia,AFC
Costa Rica,CONCACAF
Austria,UEFA
Serbia,UEFA
Argentina,CONMEBOL
China,AFC
Israel,UEFA
Paraguay,CONMEBOL
Bolivia,CONMEBOL
Thailand,AFC
Yugoslavia,UEFA
Honduras,CONCACAF
Slovenia,UEFA
Switzerland,UEFA
Italy,UEFA
Czech Republic,UEFA
West Germany,UEFA
United Arab Emirates,AFC
Kuwait,AFC
Tunisia,CAF
Chinese Taipei,AFC
Cuba,CONCACAF
Dutch East Indies,AFC
Mexico,CONCACAF
Czechoslovakia,UEFA
Turkey,UEFA
Egypt,CAF
Netherlands,UEFA
Zaire,CAF
Romania,UEFA
Peru,CONMEBOL
Denmark,UEFA
Iceland,UEFA
Ivory Coast,CAF
Republic of Ireland,UEFA
South Africa,CAF
Cameroon,CAF
Serbia and Montenegro,UEFA
Germany,UEFA
Hungary,UEFA
Nigeria,CAF
Iran,AFC
Greece,UEFA
Bulgaria,UEFA
Uruguay,CONMEBOL
Poland,UEFA
Scotland,UEFA
Senegal,CAF
