year,team,opponent_team,result,team_conf,opponent_conf
2002,Mexico,Italy,Draw,CONCACAF,UEFA
1958,Brazil,Sweden,Win,CONMEBOL,UEFA
2022,Portugal,Switzerland,Win,UEFA,UEFA
1950,Uruguay,Brazil,Win,CONMEBOL,CONMEBOL
1938,Czechoslovakia,Netherlands,Win,UEFA,UEFA
2022,Netherlands,Argentina,Loss,UEFA,CONMEBOL
1998,Argentina,Croatia,Win,CONMEBOL,UEFA
2022,Denmark,Tunisia,Draw,UEFA,CAF
1998,Spain,Bulgaria,Win,UEFA,UEFA
2018,Russia,Saudi Arabia,Win,UEFA,AFC
2006,England,Ecuador,Win,UEFA,CONMEBOL
1982,Scotland,New Zealand,Win,UEFA,OFC
1958,Hungary,Wales,Draw,UEFA,UEFA
1954,Uruguay,England,Win,CONMEBOL,UEFA
2006,England,Trinidad and Tobago,Win,UEFA,CONCACAF
1990,England,Belgium,Win,UEFA,UEFA
1978,Netherlands,West Germany,Draw,UEFA,UEFA
2002,Brazil,Turkey,Win,CONMEBOL,UEFA
1990,Yugoslavia,United Arab Emirates,Win,UEFA,AFC
1934,Czechoslovakia,Germany,Win,UEFA,UEFA
1954,England,Belgium,Draw,UEFA,UEFA
1970,West Germany,Peru,Win,UEFA,CONMEBOL
2018,Sweden,England,Loss,UEFA,UEFA
2022,France,Morocco,Win,UEFA,CAF
1962,Brazil,England,Win,CONMEBOL,UEFA
1930,Argentina,Chile,Win,CONMEBOL,CONMEBOL
1982,Algeria,Chile,Win,CAF,CONMEBOL
2022,Uruguay,South Korea,Draw,CONMEBOL,AFC
1986,Algeria,Northern Ireland,Draw,CAF,UEFA
1990,Argentina,Cameroon,Loss,CONMEBOL,CAF
1982,England,France,Win,UEFA,UEFA
1962,Yugoslavia,Uruguay,Win,UEFA,CONMEBOL
1986,Iraq,Belgium,Loss,AFC,UEFA
1938,Brazil,Poland,Win,CONMEBOL,UEFA
2006,Japan,Brazil,Loss,AFC,CONMEBOL
1990,Cameroon,Soviet Union,Loss,CAF,UEFA
1982,Italy,Poland,Draw,UEFA,UEFA
1986,Soviet Union,Hungary,Win,UEFA,UEFA
1958,Paraguay,Scotland,Win,CONMEBOL,UEFA
1994,Nigeria,Italy,Loss,CAF,UEFA
1998,Nigeria,Paraguay,Loss,CAF,CONMEBOL
1954,England,Switzerland,Win,UEFA,UEFA
2010,Slovakia,Paraguay,Loss,UEFA,CONMEBOL
1966,Spain,Switzerland,Win,UEFA,UEFA
1974,Sweden,Yugoslavia,Win,UEFA,UEFA
1986,Morocco,Poland,Draw,CAF,UEFA
2014,Ivory Coast,Japan,Win,CAF,AFC
2022,Morocco,Portugal,Win,CAF,UEFA
1990,England,Netherlands,Draw,UEFA,UEFA
2018,Mexico,Sweden,Loss,CONCACAF,UEFA
2014,Germany,Argentina,Win,UEFA,CONMEBOL
1938,Brazil,Czechoslovakia,Win,CONMEBOL,UEFA
2018,Nigeria,Iceland,Win,CAF,UEFA
1958,Northern Ireland,Czechoslovakia,Win,UEFA,UEFA
1998,Brazil,Scotland,Win,CONMEBOL,UEFA
1970,Sweden,Israel,Draw,UEFA,UEFA
