year,round,winner,loser,team,taker,penalty_order,scored,first_taker
1982,Semi-finals,West Germany,France,West Germany,Kaltz,1,True,False
1982,Semi-finals,West Germany,France,West Germany,Breitner,2,True,False
1982,Semi-finals,West Germany,France,West Germany,Stielike,3,False,False
1982,Semi-finals,West Germany,France,West Germany,Littbarski,4,True,False
1982,Semi-finals,West Germany,France,West Germany,Rummenigge,5,True,False
1982,Semi-finals,West Germany,France,France,Giresse,1,True,True
1982,Semi-finals,West Germany,France,France,Amoros,2,True,False
1982,Semi-finals,West Germany,France,France,Rocheteau,3,True,False
1982,Semi-finals,West Germany,France,France,Six,4,False,False
1982,Semi-finals,West Germany,France,France,Platini,5,True,False
1986,Quarter-finals,France,Brazil,France,Stopyra,1,True,False
1986,Quarter-finals,France,Brazil,France,Amoros,2,True,False
1986,Quarter-finals,France,Brazil,France,Bellone,3,True,False
1986,Quarter-finals,France,Brazil,France,Platini,4,False,False
1986,Quarter-finals,France,Brazil,France,Fernández,5,True,False
1986,Quarter-finals,France,Brazil,Brazil,Sócrates,1,False,True
1986,Quarter-finals,France,Brazil,Brazil,Alemão,2,True,False
1986,Quarter-finals,France,Brazil,Brazil,Zico,3,True,False
1986,Quarter-finals,France,Brazil,Brazil,Branco,4,True,False
1986,Quarter-finals,France,Brazil,Brazil,Júlio César,5,False,False
1986,Quarter-finals,West Germany,Mexico,West Germany,Allofs,1,True,True
1986,Quarter-finals,West Germany,Mexico,West Germany,Brehme,2,True,False
1986,Quarter-finals,West Germany,Mexico,West Germany,Matthäus,3,True,False
1986,Quarter-finals,West Germany,Mexico,West Germany,Littbarski,4,True,False
1986,Quarter-finals,West Germany,Mexico,Mexico,Negrete,1,True,False
1986,Quarter-finals,West Germany,Mexico,Mexico,Quirarte,2,False,False
1986,Quarter-finals,West Germany,Mexico,Mexico,Servín,3,False,False
1986,Quarter-finals,Belgium,Spain,Belgium,Claesen,1,True,False
1986,Quarter-finals,Belgium,Spain,Belgium,Scifo,2,True,False
1986,Quarter-finals,Belgium,Spain,Belgium,Broos,3,True,False
1986,Quarter-finals,Belgium,Spain,Belgium,Vervoort,4,True,False
1986,Quarter-finals,Belgium,Spain,Belgium,L. Van der Elst,5,True,False
1986,Quarter-finals,Belgium,Spain,Spain,Señor,1,True,True
1986,Quarter-finals,Belgium,Spain,Spain,Eloy,2,False,False
1986,Quarter-finals,Belgium,Spain,Spain,Chendo,3,True,False
1986,Quarter-finals,Belgium,Spain,Spain,Butragueño,4,True,False
1986,Quarter-finals,Belgium,Spain,Spain,Víctor,5,True,False
1990,Round of 16,Republic of Ireland,Romania,Republic of Ireland,Sheedy,1,True,False
1990,Round of 16,Republic of Ireland,Romania,Republic of Ireland,Houghton,2,True,False
1990,Round of 16,Republic of Ireland,Romania,Republic of Ireland,Townsend,3,True,False
1990,Round of 16,Republic of Ireland,Romania,Republic of Ireland,Cascarino,4,True,False
1990,Round of 16,Republic of Ireland,Romania,Republic of Ireland,O'Leary,5,True,False
1990,Round of 16,Republic of Ireland,Romania,Romania,Hagi,1,True,True
1990,Round of 16,Republic of Ireland,Romania,Romania,Lupu,2,True,False
1990,Round of 16,Republic of Ireland,Romania,Romania,Rotariu,3,True,False
1990,Round of 16,Republic of Ireland,Romania,Romania,Lupescu,4,True,False
1990,Round of 16,Republic of Ireland,Romania,Romania,Timofte,5,False,False
1990,Quarter-finals,Argentina,Yugoslavia,Argentina,Serrizuela,1,True,True
1990,Quarter-finals,Argentina,Yugoslavia,Argentina,Burruchaga,2,True,False
1990,Quarter-finals,Argentina,Yugoslavia,Argentina,Maradona,3,False,False
1990,Quarter-finals,Argentina,Yugoslavia,Argentina,Troglio,4,False,False
1990,Quarter-finals,Argentina,Yugoslavia,Argentina,Dezotti,5,True,False
1990,Quarter-finals,Argentina,Yugoslavia,Yugoslavia,Stojković,1,False,False
1990,Quarter-finals,Argentina,Yugoslavia,Yugoslavia,Prosinečki,2,True,False
1990,Quarter-finals,Argentina,Yugoslavia,Yugoslavia,Savićević,3,True,False
1990,Quarter-finals,Argentina,Yugoslavia,Yugoslavia,Brnović,4,False,False
1990,Quarter-finals,Argentina,Yugoslavia,Yugoslavia,Hadžibegić,5,False,False
1990,Semi-finals,Argentina,Italy,Argentina,Serrizuela,1,True,False
1990,Semi-finals,Argentina,Italy,Argentina,Burruchaga,2,True,False
1990,Semi-finals,Argentina,Italy,Argentina,Olarticoechea,3,True,False
1990,Semi-finals,Argentina,Italy,Argentina,Maradona,4,True,False
1990,Semi-finals,Argentina,Italy,Italy,Baresi,1,True,True
1990,Semi-finals,Argentina,Italy,Italy,R. Baggio,2,True,False
