year,team,position,avg_age_p_pos,avg_age
1930,Argentina,Defender,26.0,24.863636363636363
1930,Argentina,Forward,23.8,24.863636363636363
1930,Argentina,Goalkeeper,23.5,24.863636363636363
1930,Argentina,Midfielder,26.4,24.863636363636363
1930,Belgium,Defender,25.0,25.5
1930,Belgium,Forward,23.333333333333332,25.5
1930,Belgium,Goalkeeper,29.5,25.5
1930,Belgium,Midfielder,26.8,25.5
1930,Bolivia,Defender,22.0,25.0
1930,Bolivia,Forward,23.166666666666668,25.0
1930,Bolivia,Goalkeeper,30.0,25.0
1930,Bolivia,Midfielder,27.0,25.0
1930,Brazil,Defender,24.4,24.791666666666668
1930,Brazil,Forward,25.09090909090909,24.791666666666668
1930,Brazil,Goalkeeper,24.0,24.791666666666668
1930,Brazil,Midfielder,24.833333333333332,24.791666666666668
1930,Chile,Defender,28.75,26.36842105263158
1930,Chile,Forward,25.625,26.36842105263158
1930,Chile,Goalkeeper,27.5,26.36842105263158
1930,Chile,Midfielder,25.2,26.36842105263158
1930,France,Defender,24.25,24.125
1930,France,Forward,23.5,24.125
1930,France,Goalkeeper,26.0,24.125
1930,France,Midfielder,24.0,24.125
1930,Mexico,Defender,26.0,24.529411764705884
1930,Mexico,Forward,24.5,24.529411764705884
1930,Mexico,Goalkeeper,26.5,24.529411764705884
1930,Mexico,Midfielder,22.5,24.529411764705884
1930,Paraguay,Defender,25.0,24.5
1930,Paraguay,Forward,22.666666666666668,24.5
1930,Paraguay,Goalkeeper,29.0,24.5
1930,Paraguay,Midfielder,,24.5
1930,Peru,Defender,25.25,23.473684210526315
1930,Peru,Forward,23.125,23.473684210526315
1930,Peru,Goalkeeper,20.5,23.473684210526315
1930,Peru,Midfielder,23.8,23.473684210526315
1930,Romania,Defender,23.5,23.266666666666666
1930,Romania,Forward,22.333333333333332,23.266666666666666
1930,Romania,Goalkeeper,26.0,23.266666666666666
1930,Romania,Midfielder,23.0,23.266666666666666
1930,United States,Defender,26.666666666666668,26.5
1930,United States,Forward,25.0,26.5
1930,United States,Goalkeeper,32.0,26.5
1930,United States,Midfielder,27.4,26.5
1930,Uruguay,Defender,27.25,26.681818181818183
1930,Uruguay,Forward,27.0,26.681818181818183
1930,Uruguay,Goalkeeper,25.5,26.681818181818183
1930,Uruguay,Midfielder,26.166666666666668,26.681818181818183
1930,Yugoslavia,Defender,22.25,22.058823529411764
1930,Yugoslavia,Forward,22.857142857142858,22.058823529411764
1930,Yugoslavia,Goalkeeper,20.0,22.058823529411764
1930,Yugoslavia,Midfielder,21.5,22.058823529411764
1934,Argentina,Defender,25.0,23.916666666666668
1934,Argentina,Forward,21.75,23.916666666666668
1934,Argentina,Goalkeeper,21.5,23.916666666666668
1934,Argentina,Midfielder,26.75,23.916666666666668
1934,Austria,Defender,26.75,26.227272727272727
1934,Austria,Forward,26.272727272727273,26.227272727272727
1934,Austria,Goalkeeper,25.333333333333332,26.227272727272727
1934,Austria,Midfielder,26.25,26.227272727272727
1934,Belgium,Defender,26.0,25.0
1934,Belgium,Forward,24.88888888888889,25.0
1934,Belgium,Goalkeeper,25.0,25.0
1934,Belgium,Midfielder,24.75,25.0
1934,Brazil,Defender,25.333333333333332,24.105263157894736
1934,Brazil,Forward,22.75,24.105263157894736
1934,Brazil,Goalkeeper,22.0,24.105263157894736
1934,Brazil,Midfielder,26.0,24.105263157894736
1934,Czechoslovakia,Defender,27.5,25.772727272727273
1934,Czechoslovakia,Forward,25.77777777777778,25.772727272727273
1934,Czechoslovakia,Goalkeeper,25.0,25.772727272727273
1934,Czechoslovakia,Midfielder,25.0,25.772727272727273
1934,Egypt,Defender,28.0,24.384615384615383
1934,Egypt,Forward,25.0,24.384615384615383
1934,Egypt,Goalkeeper,20.0,24.384615384615383
1934,Egypt,Midfielder,23.8,24.384615384615383
1934,France,Defender,27.75,24.636363636363637
1934,France,Forward,23.625,24.636363636363637
1934,France,Goalkeeper,24.666666666666668,24.636363636363637
1934,France,Midfielder,24.0,24.636363636363637
1934,Germany,Defender,24.2,24.545454545454547
1934,Germany,Forward,23.77777777777778,24.545454545454547
1934,Germany,Goalkeeper,26.333333333333332,24.545454545454547
1934,Germany,Midfielder,25.2,24.545454545454547
1934,Hungary,Defender,25.6,25.045454545454547
1934,Hungary,Forward,26.333333333333332,25.045454545454547
1934,Hungary,Goalkeeper,23.5,25.045454545454547
1934,Hungary,Midfielder,23.166666666666668,25.045454545454547
1934,Italy,Defender,31.0,28.40909090909091
1934,Italy,Forward,26.5,28.40909090909091
1934,Italy,Goalkeeper,29.333333333333332,28.40909090909091
1934,Italy,Midfielder,28.714285714285715,28.40909090909091
1934,Netherlands,Defender,27.0,25.227272727272727
1934,Netherlands,Forward,23.272727272727273,25.227272727272727
1934,Netherlands,Goalkeeper,28.666666666666668,25.227272727272727
1934,Netherlands,Midfielder,26.4,25.227272727272727
1934,Romania,Defender,25.8,24.454545454545453
1934,Romania,Forward,23.555555555555557,24.454545454545453
1934,Romania,Goalkeeper,25.333333333333332,24.454545454545453
1934,Romania,Midfielder,24.2,24.454545454545453
1934,Spain,Defender,27.666666666666668,25.681818181818183
1934,Spain,Forward,24.375,25.681818181818183
1934,Spain,Goalkeeper,29.0,25.681818181818183
1934,Spain,Midfielder,25.444444444444443,25.681818181818183
1934,Sweden,Defender,26.333333333333332,27.19047619047619
1934,Sweden,Forward,27.09090909090909,27.19047619047619
1934,Sweden,Goalkeeper,28.0,27.19047619047619
1934,Sweden,Midfielder,27.5,27.19047619047619
1934,Switzerland,Defender,27.4,25.055555555555557
1934,Switzerland,Forward,25.142857142857142,25.055555555555557
1934,Switzerland,Goalkeeper,23.333333333333332,25.055555555555557
1934,Switzerland,Midfielder,22.666666666666668,25.055555555555557
1934,United States,Defender,24.25,28.0625
1934,United States,Forward,28.4,28.0625
1934,United States,Goalkeeper,31.0,28.0625
1934,United States,Midfielder,29.833333333333332,28.0625
1938,Belgium,Defender,24.8,25.727272727272727
1938,Belgium,Forward,24.555555555555557,25.727272727272727
1938,Belgium,Goalkeeper,28.0,25.727272727272727
1938,Belgium,Midfielder,27.4,25.727272727272727
1938,Brazil,Defender,27.5,25.954545454545453
