year,team,stage_score,final_position
1930,Argentina,5,Final
1930,Belgium,1,Group Stage
1930,Bolivia,1,Group Stage
1930,Brazil,1,Group Stage
1930,Chile,1,Group Stage
1930,France,1,Group Stage
1930,Mexico,1,Group Stage
1930,Paraguay,1,Group Stage
1930,Peru,1,Group Stage
1930,Romania,1,Group Stage
1930,United States,4,Semi-finals
1930,Uruguay,5,Final
1930,Yugoslavia,4,Semi-finals
1934,Argentina,2,Round of 16
1934,Austria,4,Semi-finals
1934,Belgium,2,Round of 16
1934,Brazil,2,Round of 16
1934,Czechoslovakia,5,Final
1934,Egypt,2,Round of 16
1934,France,2,Round of 16
1934,Germany,4,Semi-finals
1934,Hungary,3,Quarter-finals
1934,Italy,5,Final
1934,Netherlands,2,Round of 16
1934,Romania,2,Round of 16
1934,Spain,3,Quarter-finals
1934,Sweden,3,Quarter-finals
1934,Switzerland,3,Quarter-finals
1934,United States,2,Round of 16
1938,Belgium,2,Round of 16
1938,Brazil,4,Semi-finals
1938,Cuba,3,Quarter-finals
1938,Czechoslovakia,3,Quarter-finals
1938,Dutch East Indies,2,Round of 16
1938,France,3,Quarter-finals
1938,Germany,2,Round of 16
1938,Hungary,5,Final
1938,Italy,5,Final
1938,Netherlands,2,Round of 16
1938,Norway,2,Round of 16
1938,Poland,2,Round of 16
1938,Romania,2,Round of 16
1938,Sweden,4,Semi-finals
1938,Switzerland,3,Quarter-finals
1950,Bolivia,1,Group Stage
1950,Brazil,5,Final
1950,Chile,1,Group Stage
1950,England,1,Group Stage
1950,Italy,1,Group Stage
1950,Mexico,1,Group Stage
1950,Paraguay,1,Group Stage
1950,Spain,5,Final
1950,Sweden,5,Final
1950,Switzerland,1,Group Stage
1950,United States,1,Group Stage
1950,Uruguay,5,Final
1950,Yugoslavia,1,Group Stage
1954,Austria,4,Semi-finals
1954,Belgium,1,Group Stage
1954,Brazil,3,Quarter-finals
1954,Czechoslovakia,1,Group Stage
1954,England,3,Quarter-finals
1954,France,1,Group Stage
1954,Hungary,5,Final
1954,Italy,1,Group Stage
1954,Mexico,1,Group Stage
1954,Scotland,1,Group Stage
1954,South Korea,1,Group Stage
1954,Switzerland,3,Quarter-finals
1954,Turkey,1,Group Stage
1954,Uruguay,4,Semi-finals
1954,West Germany,5,Final
1954,Yugoslavia,3,Quarter-finals
1958,Argentina,1,Group Stage
1958,Austria,1,Group Stage
1958,Brazil,5,Final
1958,Czechoslovakia,1,Group Stage
1958,England,1,Group Stage
1958,France,4,Semi-finals
1958,Hungary,1,Group Stage
1958,Mexico,1,Group Stage
1958,Northern Ireland,3,Quarter-finals
1958,Paraguay,1,Group Stage
1958,Scotland,1,Group Stage
1958,Soviet Union,3,Quarter-finals
1958,Sweden,5,Final
1958,Wales,3,Quarter-finals
1958,West Germany,4,Semi-finals
1958,Yugoslavia,3,Quarter-finals
1962,Argentina,1,Group Stage
1962,Brazil,5,Final
1962,Bulgaria,1,Group Stage
1962,Chile,4,Semi-finals
1962,Colombia,1,Group Stage
1962,Czechoslovakia,5,Final
1962,England,3,Quarter-finals
1962,Hungary,3,Quarter-finals
1962,Italy,1,Group Stage
1962,Mexico,1,Group Stage
1962,Soviet Union,3,Quarter-finals
1962,Spain,1,Group Stage
1962,Switzerland,1,Group Stage
1962,Uruguay,1,Group Stage
1962,West Germany,3,Quarter-finals
1962,Yugoslavia,4,Semi-finals
1966,Argentina,3,Quarter-finals
1966,Brazil,1,Group Stage
1966,Bulgaria,1,Group Stage
1966,Chile,1,Group Stage
1966,England,5,Final
1966,France,1,Group Stage
1966,Hungary,3,Quarter-finals
1966,Italy,1,Group Stage
1966,Mexico,1,Group Stage
1966,North Korea,3,Quarter-finals
1966,Portugal,4,Semi-finals
1966,Soviet Union,4,Semi-finals
1966,Spain,1,Group Stage
1966,Switzerland,1,Group Stage
1966,Uruguay,3,Quarter-finals
1966,West Germany,5,Final
1970,Belgium,1,Group Stage
1970,Brazil,5,Final
1970,Bulgaria,1,Group Stage
1970,Czechoslovakia,1,Group Stage
1970,El Salvador,1,Group Stage
1970,England,3,Quarter-finals
1970,Israel,1,Group Stage
1970,Italy,5,Final
1970,Mexico,3,Quarter-finals
1970,Morocco,1,Group Stage
1970,Peru,3,Quarter-finals
1970,Romania,1,Group Stage
1970,Soviet Union,3,Quarter-finals
1970,Sweden,1,Group Stage
1970,Uruguay,4,Semi-finals
1970,West Germany,4,Semi-finals
1974,Argentina,2,Round of 16
1974,Australia,1,Group Stage
1974,Brazil,4,Semi-finals
1974,Bulgaria,1,Group Stage
1974,Chile,1,Group Stage
1974,East Germany,2,Round of 16
