year,team,position
1930,Uruguay,1
1930,Argentina,2
1930,United States,3
1930,Yugoslavia,4
1966,England,1
1966,West Germany,2
1966,Portugal,3
1966,Soviet Union,4
1978,Argentina,1
1978,Netherlands,2
1978,Brazil,3
1978,Italy,4
1994,Brazil,1
1994,Italy,2
1994,Sweden,3
1994,Bulgaria,4
2018,France,1
2018,Croatia,2
2018,Belgium,3
2018,England,4
1938,Italy,1
1938,Hungary,2
1938,Brazil,3
1938,Sweden,4
1990,West Germany,1
1990,Argentina,2
1990,Italy,3
1990,England,4
2014,Germany,1
2014,Argentina,2
2014,Netherlands,3
2014,Brazil,4
1954,West Germany,1
1954,Hungary,2
1954,Austria,3
1954,Uruguay,4
1950,Uruguay,1
1950,Brazil,2
1950,Sweden,3
1950,Spain,4
1958,Brazil,1
1958,Sweden,2
1958,France,3
1958,West Germany,4
1970,Brazil,1
1970,Italy,2
1970,West Germany,3
1970,Uruguay,4
1974,West Germany,1
1974,Netherlands,2
1974,Poland,3
1974,Brazil,4
1986,Argentina,1
1986,West Germany,2
1986,France,3
1986,Belgium,4
1982,Italy,1
1982,West Germany,2
1982,Poland,3
1982,France,4
2022,Argentina,1
2022,France,2
2022,Croatia,3
2022,Morocco,4
2010,Spain,1
2010,Netherlands,2
2010,Germany,3
2010,Uruguay,4
2002,Brazil,1
2002,Germany,2
2002,Turkey,3
2002,South Korea,4
2006,Italy,1
2006,France,2
2006,Germany,3
2006,Portugal,4
1934,Italy,1
1934,Czechoslovakia,2
1934,Germany,3
1934,Austria,4
1962,Brazil,1
1962,Czechoslovakia,2
1962,Chile,3
1962,Yugoslavia,4
1998,France,1
1998,Brazil,2
1998,Croatia,3
1998,Netherlands,4
